TIME TABLE FOR Fall 2020 SEMESTER [Computer Science Department] <V1.1>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,,Digital Logic Design (BCS-3G),,,,,,,,,Obj. Oriented Programming (BCS-3G),,,,,,,,,Obj. Oriented Programming (BCS-3H),,,,,,,,,Com. Org. & Assembly Lang. (BCS-3H),,,,,,,,,Linear Algebra (BCS-3H),,,,,,,,,Linear Algebra (BCS-3E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,,Com. Org. & Assembly Lang. (BCS-3G),,,,,,,,,Com. Org. & Assembly Lang. (BCS-3D),,,,,,,,,Discrete Structures (BCS-3D),,,,,,,,,Com. Org. & Assembly Lang. (BCS-3E),,,,,,,,,Discrete Structures (BCS-3C),,,,,,,,,Linear Algebra (BCS-3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,,Discrete Structures (BCS-3K),,,,,,,,,Linear Algebra (BCS-3k),,,,,,,,,,,,,,,,,,Applied Physics (BCS-1G),,,,,,,,,Applied Physics (BCS-1D),,,,,,,,,Calculus and Ana. Geometry (BCS-1D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (BCS-1B1),,,,,,,,,,,,,,,,,,English Composition and Comprehension (BCS-1A1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,Applied Physics (BCS-1A),,,,,,,,,Applied Physics (BCS-1B),,,,,,,,,English Composition and Comprehension (BCS-1B2),,,,,,,,,,,,,,,,,,English Composition and Comprehension (BCS-1A2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (BSE-1A1),,,,,,,,,,,,,,,,,,Calculus and Ana. Geometry (BCS-1F),,,,,,,,,Calculus and Ana. Geometry (BCS-1G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (BSE-1A2),,,,,,,,,,,,,,,,,,Calculus and Ana. Geometry (BSE-1A),,,,,,,,,Calculus and Ana. Geometry (BSE-1B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,,,,,,,,,,,,,,,,,,,,,,,Islamic & Religious Studies (BCS-1G),,,,,,,,,Islamic & Religious Studies (BCS-1H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,,,,,English Comp Lab (BCS-1G1),,,,,,,,,,,,,,,,,,English Comp Lab (BCS-1E1),,,,,,,,,English Comp Lab (BDS-1A1),,,,,,,,,English Comp Lab (BCS-1H1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,,,,,English Comp Lab (BCS-1G2),,,,,,,,,,,,,,,,,,English Comp Lab (BCS-1E2),,,,,,,,,English Comp Lab (BDS-1A2),,,,,,,,,English Comp Lab (BCS-1H2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
