TIME TABLE FOR Spring 2021 SEMESTER [FAST School of Computing] <V1.0>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CE-1;;;;;;;;;;;;;;;;;;;;;;;Operating Systems (BCS-4A);;;;;;;;;;;;;;;;;;Operating Systems (BCS-4B);;;;;;;;;Operating Systems (BCS-4C);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CE-2;;;;;;;;;;;;;;Software Engineering (BCS-6B);;;;;;;;;Software Engineering (BCS-6C);;;;;;;;;;;;;;;;;;Operating Systems (BCS-4D);;;;;;;;;Operating Systems (BCS-4E);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CE-3;;;;;Marketing Management (BCS-6A);;;;;;;;;Artificial Intelligence (BCS-6E);;;;;;;;;Artificial Intelligence (BCS-6F);;;;;;;;;;;;;;;;;;Digital Logic Design (BCS-2C) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-2;;;;;Mass Communication (BCS-6A);;;;;;;;;Mass Communication (BCS-4A);;;;;;;;;Design & Analysis of Algorithms (BCS-4D);;;;;;;;;;;;;;;;;;Design & Analysis of Algorithms (BCS-4E);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-9;;;;;Probability & Statistics (BCS-4F);;;;;;;;;;;;;;;;;;Design & Analysis of Algorithms (BCS-4C);;;;;;;;;Finance and Accounting (BCS-4A);;;;;;;;;Design & Analysis of Algorithms (BCS-6A);;;;;;;;;International Relations (BCS-6A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-11;;;;;Probability & Statistics (BCS-4H);;;;;;;;;Probability & Statistics (BCS-4J);;;;;;;;;Design & Analysis of Algorithms (BCS-4B);;;;;;;;;Environmental Studies (BCS-4A);;;;;;;;;Design & Analysis of Algorithms (BCS-4A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Advanced Programming (BCS-6A);;;;;;;;;Advanced Programming (BCS-8A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-16;;;;;;;;;;;;;;;;;;;;;;;Communication & Presentation Skills (BCS-2C1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-1;;;;;;;;;;;;;;;;;;;;;;;Communication & Presentation Skills (BCS-2C2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-8;;;;;;;;;;;;;;;;;;;;;;;Communication & Presentation Skills (BCS-2A1);;;;;;;;;;;;;;;;;;Communication & Presentation Skills (BCS-2B1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-16;;;;;;;;;;;;;;;;;;;;;;;Communication & Presentation Skills (BCS-2A2);;;;;;;;;;;;;;;;;;Communication & Presentation Skills (BCS-2B2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;English Lab-I;;;;;;;;;;;;;;;;;;;;;;;Com & Presentation Skills Lab (BDS-2B1);;;;;;;;;Com & Presentation Skills Lab (BDS-2A1);;;;;;;;;Com & Presentation Skills Lab (BCS-2A1);;;;;;;;;Com & Presentation Skills Lab (BCS-2G1);;;;;;;;;Com & Presentation Skills Lab (BCS-2B1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;English Lab-II;;;;;;;;;;;;;;;;;;;;;;;Com & Presentation Skills Lab (BDS-2B2);;;;;;;;;Com & Presentation Skills Lab (BDS-2A2);;;;;;;;;Com & Presentation Skills Lab (BCS-2A2);;;;;;;;;Com & Presentation Skills Lab (BCS-2G2);;;;;;;;;Com & Presentation Skills Lab (BCS-2B2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lab(CS-1);;;;;Artificial Intelligence Lab (BCS-6F1, BCS-6F2);;;;;;;;;;;;;;;;;;Object Oriented Programming Lab (BSE-2A1, BSE-2A2);;;;;;;;;;;;;;;;;;Object Oriented Programming Lab (BSE-2B1, BSE-2B2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lab(CS-4);;;;;Operating Systems Lab (BCS-4E1 & BCS-4E2);;;;;;;;;;;;;;;;;;Programming Fundamentals Lab (BCS-2G1, BCS-2G2);;;;;;;;;;;;;;;;;;Data Structures Lab (BCS-4H1 & BCS-4H2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lab(CS-6);;;;;;;;;;;;;;;;;;;;;;;Artificial Intelligence Lab (BCS-6B1, BCS-6B2);;;;;;;;;;;;;;;;;;Data Structures Lab (BCS-4J1 & BCS-4J2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lab(CS-8);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lab(CS-9);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Physics Lab;;;;;;;;;;;;;;;;;;;;;;;Digital Logic Design Lab (BCS-2F1) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Micro Lab;;;;;;;;;;;;;;;;;;;;;;;Digital Logic Design Lab (BCS-2F2) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Tuesday                   Tuesday;Aud-Old;;;;;;;;;;;;;;Natural Language Processing (MCS-2A);;;;;;;;;;;;;;;;;;Design Patterns (MCS-2A);;;;;;;;;Social Network Analysis (MDS-2A);;;;;;;;;Computational Intelligence (MCS-2A);;;;;;;;;Advanced Computer Architecture (MCS-2A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Seminar Hall;;;;;Digital Image Processing (BCS-6A);;;;;;;;;Machine Learning for Data Sc. (MDS-2A);;;;;;;;;Digital Image Processing (BCS-6B);;;;;;;;;Critical Thinking (BCS-6A);;;;;;;;;Software Testing (BCS-8D);;;;;;;;;Software Testing (BCS-8A);;;;;;;;;Management & Organizational Behavior (MSP-2A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Drawing Hall-1;;;;;;;;;;;;;;Software Testing (BCS-8C);;;;;;;;;Intro. to Cloud Computing (BCS-8A);;;;;;;;;Intro. to Cloud Computing (BCS-8B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Drawing Hall-2;;;;;Software Testing (BCS-8E);;;;;;;;;Software Testing (BCS-8B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lib. Con. Room;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-6;;;;;Digital Logic Design (BCS-2A) ;;;;;;;;;Digital Logic Design (BCS-2G) ;;;;;;;;;Data Structures (BCS-4J);;;;;;;;;Programming Fundamentals (BSE-2C);;;;;;;;;Programming Fundamentals (BCS-2G);;;;;;;;;Arabic Language (BCS-4A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-7;;;;;Probability & Statistics (BCS-4G);;;;;;;;;Probability & Statistics (BCS-4B);;;;;;;;;Probability & Statistics (BCS-4A);;;;;;;;;Comp. Org. & Assembly L. (BCS-4F);;;;;;;;;Comp. Org. & Assembly L. (BCS-4G);;;;;;;;;Principles of Leadership (BCS-4B);;;;;;;;;Principles of Leadership (BCS-4A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-8;;;;;Probability & Statistics (BCS-4E);;;;;;;;;Database Systems (BCS-4E);;;;;;;;;Database Systems (BCS-6A);;;;;;;;;Entrepreneurship (BCS-6A);;;;;;;;;Parallel and Dist. Computing (BCS-6C);;;;;;;;;Entrepreneurship (BCS-4A);;;;;;;;;Entrepreneurship (BCS-4B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-9;;;;;;;;;;;;;;Intro to Software Engineering (BSE-2A);;;;;;;;;Intro to Software Engineering (BSE-2B);;;;;;;;;Object Oriented Programming (BSE-2A);;;;;;;;;Object Oriented Programming (BSE-2B);;;;;;;;;Compiler Construction (BCS-8A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-10;;;;;Differential Equations (Cal II) (BCS-2C);;;;;;;;;Differential Equations (Cal II) (BCS-2B);;;;;;;;;Data Structures (BCS-4G);;;;;;;;;Data Structures (BCS-4H);;;;;;;;;Operating Systems (BCS-6A);;;;;;;;;Artificial Intelligence (BCS-6B);;;;;;;;;Artificial Intelligence (BCS-6A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-11;;;;;Pakistan Studies (BCS-2G);;;;;;;;;Islamic & Religious Studies (BCS-2C);;;;;;;;;Differential Equations (Cal II) (BCS-2A);;;;;;;;;Psychology (BCS-4A);;;;;;;;;Islamic & Religious Studies (BCS-2A);;;;;;;;;Islamic & Religious Studies (BCS-2B);;;;;;;;;Calculus and Ana. Geometry (BCS-2G);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-10;;;;;Object Oriented Programming (BCS-2B);;;;;;;;;Database Systems (BCS-4A);;;;;;;;;Database Systems (BCS-4B);;;;;;;;;Digital Logic Design (BCS-2B) ;;;;;;;;;Digital Logic Design (BCS-2F) ;;;;;;;;;Differential Equations (Cal II) (BCS-2F);;;;;;;;;Data Structures (BCS-4F);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CE-1;;;;;;;;;;;;;;Database Systems (BCS-4C);;;;;;;;;Database Systems (BCS-4D);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CE-2;;;;;Parallel and Dist. Computing (BCS-6A);;;;;;;;;Parallel and Dist. Computing (BCS-6B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CE-3;;;;;Computer Networks (BCS-6A);;;;;;;;;Parallel and Dist. Computing (BCS-6D);;;;;;;;;Psychology (BCS-6A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-2;;;;;Parallel and Dist. Computing (BCS-6E);;;;;;;;;Parallel and Dist. Computing (BCS-6F);;;;;;;;;Professional Issues in IT (BCS-8F);;;;;;;;;Data Science (BCS-8A);;;;;;;;;Data Science (BCS-8B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-9;;;;;;;;;;;;;;Object Oriented Programming (BDS-2A);;;;;;;;;Theory of Automata (BCS-8A);;;;;;;;;Theory of Automata (BCS-6A);;;;;;;;;Professional Issues in IT (BCS-8A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-11;;;;;Introduction to SPM (BCS-8B);;;;;;;;;Software for Mobile Devices (BCS-8A);;;;;;;;;Software for Mobile Devices (BCS-6A);;;;;;;;;Human Computer Interaction (BCS-8A);;;;;;;;;Discrete Structures (BCS-4A) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-15;;;;;Artificial Intelligence (BCS-8A);;;;;;;;;Computer Architecture (BCS-8A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CS-8;;;;;;;;;;;;;;;;;;;;;;;Communication & Presentation Skills (BCS-2D1);;;;;;;;;;;;;;;;;;Communication & Presentation Skills (BCS-2E1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-16;;;;;;;;;;;;;;;;;;;;;;;Communication & Presentation Skills (BCS-2D2);;;;;;;;;;;;;;;;;;Communication & Presentation Skills (BCS-2E2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;English Lab-I;;;;;Com & Presentation Skills Lab (BSE-2A1);;;;;;;;;;;;;;;;;;Com & Presentation Skills Lab (BCS-2F1);;;;;;;;;Com & Presentation Skills Lab (BCS-2C1);;;;;;;;;Com & Presentation Skills Lab (BCS-2D1);;;;;;;;;Com & Presentation Skills Lab (BSE-2B1);;;;;;;;;Com & Presentation Skills Lab (BCS-2E1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;English Lab-II;;;;;Com & Presentation Skills Lab (BSE-2A2);;;;;;;;;;;;;;;;;;Com & Presentation Skills Lab (BCS-2F2);;;;;;;;;Com & Presentation Skills Lab (BCS-2C2);;;;;;;;;Com & Presentation Skills Lab (BCS-2D2);;;;;;;;;Com & Presentation Skills Lab (BSE-2B2);;;;;;;;;Com & Presentation Skills Lab (BCS-2E2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lab(CS-1);;;;;Object Oriented Programming Lab (BCS-2F1, BCS-2F2);;;;;;;;;;;;;;;;;;Operating Systems Lab (BCS-4C1 & BCS-4C2);;;;;;;;;;;;;;;;;;Programming Fundamentals Lab (BSE-2C1, BSE-2C2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lab(CS-4);;;;;Operating Systems Lab (BCS-4D1 & BCS-4D2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Artificial Intelligence Lab (BCS-6A1, BCS-6A2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lab(CS-6);;;;;Artificial Intelligence Lab (BCS-6C1, BCS-6C2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Object Oriented Programming Lab (BDS-2A1, BDS-2A2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lab(CS-8);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lab(CS-9);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Physics Lab;;;;;;;;;;;;;;;;;;;;;;;Digital Logic Design Lab (BDS-2A1) ;;;;;;;;;;;;;;;;;;Digital Logic Design Lab (BCS-2C1) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Micro Lab;;;;;;;;;;;;;;;;;;;;;;;Digital Logic Design Lab (BDS-2A2) ;;;;;;;;;;;;;;;;;;Digital Logic Design Lab (BCS-2C2) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wednesday                     Wednesday;Aud-Old;;;;;Research Methodology (MDS-2A);;;;;;;;;;;;;;;;;;;;;;;;;;;Deep Learning (MDS-2A);;;;;;;;;;;;;;;;;;Advanced Computer Vision (MDS-4A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Seminar Hall;;;;;Web Programming (BCS-8A);;;;;;;;;Software Engineering (BCS-6A);;;;;;;;;Web Programming (BCS-6A);;;;;;;;;;;;;;;;;;Software Design and Analysis (BCS-6A);;;;;;;;;Technical and Business Writing (BCS-8A);;;;;;;;;Requirement Engineering (MSP-2A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Drawing Hall-1;;;;;Internet of Things (MCS-2A);;;;;;;;;Advanced Operating Systems (MCS-2A);;;;;;;;;;;;;;;;;;Graph Algorithms (MCS-2A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Drawing Hall-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lib. Con. Room;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
